barangay,city,province,region,urban_or_rural,population_2020
Baviera,City of Sagay,Negros Occidental,Region VI (Western Visayas),R," 2,640 "
Igcawayan,San Lorenzo,Guimaras,Region VI (Western Visayas),R," 1,447 "
Cambaol,Alicia,Bohol,Region VII (Central Visayas),R," 1,139 "
Pilipog,Cordova,Cebu,Region VII (Central Visayas),U," 4,660 "
Daanlungsod,Oslob,Cebu,Region VII (Central Visayas),R," 1,736 "
Don Andres Soriano,City of Toledo,Cebu,Region VII (Central Visayas),U," 18,948 "
Mabunga,City of Guihulngan,Negros Oriental,Region VII (Central Visayas),R," 1,858 "
Simacolong,Lazi,Siquijor,Region VII (Central Visayas),R," 2,120 "
Cabal-asan,Maria,Siquijor,Region VII (Central Visayas),R, 389 
Caipilan,Siquijor ,Siquijor,Region VII (Central Visayas),R," 1,210 "
Pingan,General Macarthur,Eastern Samar,Region VIII (Eastern Visayas),R, 601 
Barangay Poblacion 6,Lawaan,Eastern Samar,Region VIII (Eastern Visayas),R, 474 
Cantomco,Llorente,Eastern Samar,Region VIII (Eastern Visayas),R, 377 
Sung-an,Mercedes,Eastern Samar,Region VIII (Eastern Visayas),R, 506 
Camanga,Salcedo,Eastern Samar,Region VIII (Eastern Visayas),R, 538 
Barangay No. 6 Poblacion,San Julian,Eastern Samar,Region VIII (Eastern Visayas),R, 870 
Poblacion Barangay 5,Taft,Eastern Samar,Region VIII (Eastern Visayas),R," 1,241 "
Buntay ,Abuyog,Leyte,Region VIII (Eastern Visayas),R," 2,114 "
Bugho,Alangalang,Leyte,Region VIII (Eastern Visayas),R," 1,495 "
Tabla,Calubian,Leyte,Region VIII (Eastern Visayas),R, 274 
Antipolo,Isabel,Leyte,Region VIII (Eastern Visayas),R, 517 
San Antonio,Palo,Leyte,Region VIII (Eastern Visayas),R," 1,157 "
Hacienda Maria,San Isidro,Leyte,Region VIII (Eastern Visayas),R," 2,030 "
Atipolo,Tanauan,Leyte,Region VIII (Eastern Visayas),R, 858 
Magay,Tanauan,Leyte,Region VIII (Eastern Visayas),R, 728 
San Francisco,Villaba,Leyte,Region VIII (Eastern Visayas),R, 555 
Silad,Villaba,Leyte,Region VIII (Eastern Visayas),R," 1,618 "
Palanas,Lapinig,Northern Samar,Region VIII (Eastern Visayas),R, 264 
Balnasan,San Roque,Northern Samar,Region VIII (Eastern Visayas),R," 1,420 "
Cagda-o,Silvino Lobos,Northern Samar,Region VIII (Eastern Visayas),R, 270 
Barangay 4 ,Calbiga,Samar,Region VIII (Eastern Visayas),R, 388 
Buenavista II,San Jorge,Samar,Region VIII (Eastern Visayas),R, 464 
Laboon,City of Maasin ,Southern Leyte,Region VIII (Eastern Visayas),R," 1,604 "
Santa Rosa,City of Maasin ,Southern Leyte,Region VIII (Eastern Visayas),R, 228 
Agay-ay,San Juan,Southern Leyte,Region VIII (Eastern Visayas),R, 596 
Galas,City of Dipolog ,Zamboanga del Norte,Region IX (Zamboanga Peninsula),U," 19,508 "
New Salvacion,Labason,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 778 
San Miguel,Mutia,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 628 
Cabbunan,Sibuco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 563 
Gampis,Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,721 "
San Vicente,Mahayag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 824 
Tulapok,Margosatubig,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 2,062 "
Lenienza,City of Pagadian ,Zamboanga del Sur,Region IX (Zamboanga Peninsula),U," 5,053 "
Dumagoc,City of Pagadian ,Zamboanga del Sur,Region IX (Zamboanga Peninsula),U," 8,522 "
Tultolan,Tabina,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 686 
Bulanay,Sominot,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 927 
Darumawang Ilaya,Lala,Lanao del Norte,Region X (Northern Mindanao),R," 3,714 "
Pantao Marug,Pantao Ragat,Lanao del Norte,Region X (Northern Mindanao),R," 1,343 "
Sibugon,Lopez Jaena,Misamis Occidental,Region X (Northern Mindanao),R," 1,232 "
Boundary,Sapang Dalaga,Misamis Occidental,Region X (Northern Mindanao),R, 888 
Santo Niño,City of Tangub,Misamis Occidental,Region X (Northern Mindanao),R, 398 
Baluarte,Tagoloan,Misamis Oriental,Region X (Northern Mindanao),U," 10,860 "
Del Monte,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),R," 1,871 "
Rizal,Malalag,Davao del Sur,Region XI (Davao Region),R," 1,426 "
Limbo,Maco,Davao de Oro,Region XI (Davao Region),R," 1,391 "
Mapurok,Alamada,Cotabato,Region XII (SOCCSKSARGEN),R," 2,856 "
Magbok,Tulunan,Cotabato,Region XII (SOCCSKSARGEN),R, 705 
Sarabia,City of Koronadal ,South Cotabato,Region XII (SOCCSKSARGEN),U," 9,420 "
Panay,Santo Niño,South Cotabato,Region XII (SOCCSKSARGEN),R," 3,439 "
Cross,Glan,Sarangani,Region XII (SOCCSKSARGEN),R," 2,190 "
Lun Masla,Malapatan,Sarangani,Region XII (SOCCSKSARGEN),U," 5,250 "
Danac West,Boliney,Abra,Cordillera Administrative Region (CAR),R, 681 
Ampalioc,Luba,Abra,Cordillera Administrative Region (CAR),R," 1,282 "
Balong,City of Tabuk ,Kalinga,Cordillera Administrative Region (CAR),R," 2,297 "
Baliwanan,Kabugao ,Apayao,Cordillera Administrative Region (CAR),R, 467 
Barangay 5 ,Nasipit,Agusan del Norte,Region XIII (Caraga),U," 1,467 "
Roxas,San Isidro,Surigao del Norte,Region XIII (Caraga),R," 1,182 "
Labisma,City of Bislig,Surigao del Sur,Region XIII (Caraga),R," 2,683 "
Alba,Tago,Surigao del Sur,Region XIII (Caraga),R," 1,830 "
Matarling,Lantawan,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,042 "
Lanawan,Tabuan-Lasa,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 7,609 "
Barit,Ganassi,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 882 
Pagalongan,Kapai,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 775 
Dalama,Lumbatan,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,583 "
Lunay,Lumbatan,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,010 "
Batal-Punud,Marantao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,364 "
Lilod,Mulondo,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 561 
Picarabawan,Tamparan,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U, 525 
Pagonayan,Amai Manabilang,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 622 
Lipunos,Parang,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,426 "
Kanlibot,Talipao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,310 "
Bualan,Barira,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,588 "
Nuyo,Buldon,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,947 "
Kalanganan I,City of Cotabato,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 6,546 "
Moro Point,Parang,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 907 
Nara,Sultan Kudarat,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,790 "
Dalgan,Pagalungan,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,616 "
"Bgy. No. 34-A, Gabu Norte West",City of Laoag ,Ilocos Norte,Region I (Ilocos Region),R, 581 
San Juan,Paoay,Ilocos Norte,Region I (Ilocos Region),R, 222 
Arnap,Cabugao,Ilocos Sur,Region I (Ilocos Region),R," 1,310 "
Lanipao,Narvacan,Ilocos Sur,Region I (Ilocos Region),R, 677 
Patungcaleo,Quirino,Ilocos Sur,Region I (Ilocos Region),R," 1,194 "
Calay-ab,Santo Domingo,Ilocos Sur,Region I (Ilocos Region),R, 860 
Kisikis,Alcala,Pangasinan,Region I (Ilocos Region),U," 3,661 "
San Jose,Bani,Pangasinan,Region I (Ilocos Region),U," 2,212 "
Balaybuaya,Bayambang,Pangasinan,Region I (Ilocos Region),R," 2,078 "
Domalandan Center,Lingayen ,Pangasinan,Region I (Ilocos Region),R," 2,066 "
Matalava,Lingayen ,Pangasinan,Region I (Ilocos Region),U," 2,931 "
Bantay,Mangatarem,Pangasinan,Region I (Ilocos Region),R, 493 
Rizal,Natividad,Pangasinan,Region I (Ilocos Region),R, 735 
Bantugan,Pozorrubio,Pangasinan,Region I (Ilocos Region),R," 1,367 "
Imelda,San Jacinto,Pangasinan,Region I (Ilocos Region),R," 1,499 "
Poblacion East,San Nicolas,Pangasinan,Region I (Ilocos Region),R," 2,567 "
Malapat,Cordon,Isabela,Region II (Cagayan Valley),R," 2,210 "
Aromin,Echague,Isabela,Region II (Cagayan Valley),R," 1,035 "
Lenzon,Gamu,Isabela,Region II (Cagayan Valley),R," 1,106 "
Careb,Bagabag,Nueva Vizcaya,Region II (Cagayan Valley),R," 2,302 "
Dumabato Norte,Maddela,Quirino,Region II (Cagayan Valley),R," 1,435 "
Ibayo,City of Balanga ,Bataan,Region III (Central Luzon),U," 2,277 "
Longos,City of Malolos ,Bulacan,Region III (Central Luzon),U," 16,999 "
Ibayo,Marilao,Bulacan,Region III (Central Luzon),U," 8,310 "
Santo Niño,City of Cabanatuan,Nueva Ecija,Region III (Central Luzon),R," 1,946 "
Ocampo-Rivera District ,Jaen,Nueva Ecija,Region III (Central Luzon),R, 727 
Labney,Science City of Muñoz,Nueva Ecija,Region III (Central Luzon),R," 1,064 "
San Antonio,Science City of Muñoz,Nueva Ecija,Region III (Central Luzon),R," 2,305 "
Maliwalu,Bacolor,Pampanga,Region III (Central Luzon),R," 1,438 "
Santo Rosario,Candaba,Pampanga,Region III (Central Luzon),R," 1,338 "
Santa Lucia ,Lubao,Pampanga,Region III (Central Luzon),R," 2,535 "
Caduang Tete,Macabebe,Pampanga,Region III (Central Luzon),U," 7,104 "
Sta. Lucia Matua,Masantol,Pampanga,Region III (Central Luzon),U," 3,262 "
San Jose,Santa Ana,Pampanga,Region III (Central Luzon),R," 2,110 "
Palimbo Proper,Camiling,Tarlac,Region III (Central Luzon),R," 1,160 "
Surgui 3rd,Camiling,Tarlac,Region III (Central Luzon),R," 1,380 "
Matayumcab,Gerona,Tarlac,Region III (Central Luzon),R," 1,826 "
Poblacion 2,Gerona,Tarlac,Region III (Central Luzon),U," 1,017 "
Tolega Norte,Moncada,Tarlac,Region III (Central Luzon),R, 945 
Alwa,Palauig,Zambales,Region III (Central Luzon),R, 820 
Cawag,Subic,Zambales,Region III (Central Luzon),U," 16,982 "
Malalay,Balayan,Batangas,Region IV-A (CALABARZON),R," 1,024 "
San Isidro,Cuenca,Batangas,Region IV-A (CALABARZON),R," 2,565 "
Barangay 7 ,Cuenca,Batangas,Region IV-A (CALABARZON),U," 2,167 "
Banaybanay,City of Lipa,Batangas,Region IV-A (CALABARZON),U," 12,971 "
Fabrica,Lobo,Batangas,Region IV-A (CALABARZON),R," 2,026 "
Maabud North,San Nicolas,Batangas,Region IV-A (CALABARZON),R," 1,191 "
Quiling,Talisay,Batangas,Region IV-A (CALABARZON),R," 4,999 "
Toclong II-B,City of Imus,Cavite,Region IV-A (CALABARZON),R," 2,387 "
Bitin,Bay,Laguna,Region IV-A (CALABARZON),U," 6,888 "
Anglas,Cavinti,Laguna,Region IV-A (CALABARZON),R, 427 
Poblacion III ,Nagcarlan,Laguna,Region IV-A (CALABARZON),R," 2,346 "
Barangay II-A ,City of San Pablo,Laguna,Region IV-A (CALABARZON),R," 2,896 "
Bubukal,Santa Cruz ,Laguna,Region IV-A (CALABARZON),U," 7,131 "
Habingan,Atimonan,Quezon,Region IV-A (CALABARZON),R, 237 
Kanluran Malicboy,Pagbilao,Quezon,Region IV-A (CALABARZON),R," 1,297 "
Dalig,Cardona,Rizal,Region IV-A (CALABARZON),U," 7,104 "
Canat,Boac ,Marinduque,MIMAROPA Region,R, 492 
Bagong Sikat ,Lubang,Occidental Mindoro,MIMAROPA Region,R, 339 
Tigkan,Naujan,Oriental Mindoro,MIMAROPA Region,R, 806 
Calangatan,San Teodoro,Oriental Mindoro,MIMAROPA Region,R," 2,725 "
Duongan,Victoria,Oriental Mindoro,MIMAROPA Region,R," 1,416 "
San Gabriel,Victoria,Oriental Mindoro,MIMAROPA Region,R," 1,228 "
Tubtub,Brooke'S Point,Palawan,MIMAROPA Region,R," 2,296 "
Lagaoriao ,Cuyo,Palawan,MIMAROPA Region,R, 807 
Manamoc,Cuyo,Palawan,MIMAROPA Region,U," 2,904 "
Balaguen,Magsaysay,Palawan,MIMAROPA Region,R," 1,819 "
Sandoval,Narra,Palawan,MIMAROPA Region,R," 2,567 "
Cambajao,Cajidiocan,Romblon,MIMAROPA Region,R," 2,466 "
Bacolod,Libon,Albay,Region V (Bicol Region),R," 1,362 "
Itaran,Polangui,Albay,Region V (Bicol Region),R," 2,239 "
Bagong San Roque,Santo Domingo,Albay,Region V (Bicol Region),R," 1,566 "
San Rafael,Jose Panganiban,Camarines Norte,Region V (Bicol Region),R," 3,405 "
Fundado,Labo,Camarines Norte,Region V (Bicol Region),R," 2,043 "
La Trinidad,City of Iriga,Camarines Sur,Region V (Bicol Region),U," 2,108 "
New San Roque,Pili ,Camarines Sur,Region V (Bicol Region),U," 3,946 "
Sulpa,Siruma,Camarines Sur,Region V (Bicol Region),R, 866 
Burabod,Castilla,Sorsogon,Region V (Bicol Region),R," 1,956 "
Villa Flores,Patnongon,Antique,Region VI (Western Visayas),R, 229 
Maybato Norte,San Jose ,Antique,Region VI (Western Visayas),R," 4,554 "
La Paz,Tibiao,Antique,Region VI (Western Visayas),R," 1,436 "
Navitas,Panay,Capiz,Region VI (Western Visayas),R," 1,290 "
Tugaslon,Alimodian,Iloilo,Region VI (Western Visayas),R, 266 
Inaladan,Cabatuan,Iloilo,Region VI (Western Visayas),R, 525 
Cansilayan,Dumangas,Iloilo,Region VI (Western Visayas),R," 1,478 "
Sulangan,Dumangas,Iloilo,Region VI (Western Visayas),U," 3,094 "
Pescadores ,Guimbal,Iloilo,Region VI (Western Visayas),R, 782 
Alcantara,Lemery,Iloilo,Region VI (Western Visayas),R," 1,325 "
Nagsulang,Lemery,Iloilo,Region VI (Western Visayas),R," 1,142 "
Bariri,Miagao,Iloilo,Region VI (Western Visayas),R, 143 
Lumangan,Miagao,Iloilo,Region VI (Western Visayas),R, 792 
Cabungahan,Calatrava,Negros Occidental,Region VI (Western Visayas),R, 871 
Pinocutan,Calatrava,Negros Occidental,Region VI (Western Visayas),R," 1,648 "
Barangay I ,Hinigaran,Negros Occidental,Region VI (Western Visayas),U," 3,342 "
Tadlong,City of Sagay,Negros Occidental,Region VI (Western Visayas),R," 3,143 "
Barangay XIV,City of Victorias,Negros Occidental,Region VI (Western Visayas),R," 4,573 "
Tinadtaran,Buenavista,Guimaras,Region VI (Western Visayas),R," 1,521 "
Concordia Norte,Sibunag,Guimaras,Region VI (Western Visayas),R," 1,005 "
Millan,Sibunag,Guimaras,Region VI (Western Visayas),R," 1,967 "
Catmonan,Calape,Bohol,Region VII (Central Visayas),R," 1,451 "
Bato,Guindulman,Bohol,Region VII (Central Visayas),R," 1,252 "
Punay,Aloguinsan,Cebu,Region VII (Central Visayas),R," 1,537 "
Doong,Bantayan,Cebu,Region VII (Central Visayas),R," 2,922 "
Busay,Moalboal,Cebu,Region VII (Central Visayas),R," 1,613 "
Guimbawian,Pinamungajan,Cebu,Region VII (Central Visayas),R," 2,086 "
Dalahikan,Samboan,Cebu,Region VII (Central Visayas),R," 1,360 "
Buntis,Bacong,Negros Oriental,Region VII (Central Visayas),R," 3,987 "
Combado,Bacong,Negros Oriental,Region VII (Central Visayas),R," 3,759 "
Olandao,Basay,Negros Oriental,Region VII (Central Visayas),R," 1,119 "
Azagra,City of Tanjay,Negros Oriental,Region VII (Central Visayas),U," 5,193 "
Sandugan,Larena,Siquijor,Region VII (Central Visayas),R," 1,077 "
Sawang,Maria,Siquijor,Region VII (Central Visayas),R, 444 
Agsam,Oras,Eastern Samar,Region VIII (Eastern Visayas),R, 926 
Barangay 13 ,Salcedo,Eastern Samar,Region VIII (Eastern Visayas),R, 435 
Lusod,Salcedo,Eastern Samar,Region VIII (Eastern Visayas),R, 271 
Dolho,Bato,Leyte,Region VIII (Eastern Visayas),R," 3,446 "
Gubang,City of Baybay,Leyte,Region VIII (Eastern Visayas),R, 442 
Cabalquinto,Calubian,Leyte,Region VIII (Eastern Visayas),R," 1,001 "
Pinamopoan,Capoocan,Leyte,Region VIII (Eastern Visayas),R," 3,233 "
Mag-aso,La Paz,Leyte,Region VIII (Eastern Visayas),R, 683 
Poblacion District 2,Macarthur,Leyte,Region VIII (Eastern Visayas),R," 1,083 "
Jones,Pastrana,Leyte,Region VIII (Eastern Visayas),R, 913 
Londres,Allen,Northern Samar,Region VIII (Eastern Visayas),R," 1,077 "
Balicuatro,Lavezares,Northern Samar,Region VIII (Eastern Visayas),R, 334 
San Roman,Victoria,Northern Samar,Region VIII (Eastern Visayas),R, 437 
Amampacang,City of Calbayog,Samar,Region VIII (Eastern Visayas),R, 847 
Libas,City of Catbalogan ,Samar,Region VIII (Eastern Visayas),R, 325 
Malihao,Hinabangan,Samar,Region VIII (Eastern Visayas),R," 1,420 "
Cabaywa,San Sebastian,Samar,Region VIII (Eastern Visayas),R, 205 
Nabulo,Santa Margarita,Samar,Region VIII (Eastern Visayas),R, 249 
Hinangudtan,Santa Rita,Samar,Region VIII (Eastern Visayas),R," 1,417 "
Bahay,Tarangnan,Samar,Region VIII (Eastern Visayas),R, 667 
Marabut,Tarangnan,Samar,Region VIII (Eastern Visayas),R, 247 
Lawa-an,Villareal,Samar,Region VIII (Eastern Visayas),R, 274 
Santa Cruz ,Macrohon,Southern Leyte,Region VIII (Eastern Visayas),R," 1,518 "
Bogo ,Tomas Oppus,Southern Leyte,Region VIII (Eastern Visayas),R," 1,022 "
Banbanan,City of Dapitan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,302 "
Mias,Katipunan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,771 "
Bitoon,Jose Dalman,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 754 
Upper Bayao,Tukuran,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,039 "
Singclot,Guipos,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 690 
Dansulao,Malangas,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,632 "
Portulin,Pangantucan,Bukidnon,Region X (Northern Mindanao),R," 1,547 "
Sacramento Valley,San Fernando,Bukidnon,Region X (Northern Mindanao),R," 2,184 "
Lourdes,City of Valencia,Bukidnon,Region X (Northern Mindanao),R," 1,955 "
Mailag,City of Valencia,Bukidnon,Region X (Northern Mindanao),U," 7,700 "
Kalanganan Lower,Pantar,Lanao del Norte,Region X (Northern Mindanao),R," 1,574 "
Lower Usugan,Bonifacio,Misamis Occidental,Region X (Northern Mindanao),R," 1,344 "
Northern Poblacion,Calamba,Misamis Occidental,Region X (Northern Mindanao),U," 1,684 "
Trigos,City of Ozamiz,Misamis Occidental,Region X (Northern Mindanao),R, 879 
Huyohoy,City of Tangub,Misamis Occidental,Region X (Northern Mindanao),R, 679 
Dinawehan,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),R, 601 
Bobontugan,Jasaan,Misamis Oriental,Region X (Northern Mindanao),U," 6,849 "
Inobulan,Salay,Misamis Oriental,Region X (Northern Mindanao),R," 3,109 "
Dagohoy,Talaingod,Davao del Norte,Region XI (Davao Region),U," 6,798 "
Mahanub,Baganga,Davao Oriental,Region XI (Davao Region),R," 4,462 "
Mercedes,Caraga,Davao Oriental,Region XI (Davao Region),R," 1,190 "
San Isidro,Lupon,Davao Oriental,Region XI (Davao Region),R," 1,757 "
Naboc,Monkayo,Davao de Oro,Region XI (Davao Region),R," 3,060 "
Cogonon,New Bataan,Davao de Oro,Region XI (Davao Region),R," 1,233 "
P. Fuentes,Pantukan,Davao de Oro,Region XI (Davao Region),R," 3,908 "
Santo Niño,City of Kidapawan ,Cotabato,Region XII (SOCCSKSARGEN),R," 1,337 "
Zone III ,City of Koronadal ,South Cotabato,Region XII (SOCCSKSARGEN),U," 13,013 "
Tuka,Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 4,869 "
Kalawag I ,Isulan ,Sultan Kudarat,Region XII (SOCCSKSARGEN),U," 10,568 "
Pag-asa,Kalamansig,Sultan Kudarat,Region XII (SOCCSKSARGEN),U," 5,667 "
Blingkong,Lutayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),U," 6,958 "
Sigayan,Lambayong,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 3,216 "
Ilaya,Glan,Sarangani,Region XII (SOCCSKSARGEN),R," 4,566 "
Poblacion,Kibungan,Benguet,Cordillera Administrative Region (CAR),R," 2,427 "
Tanglag,Lubuagan,Kalinga,Cordillera Administrative Region (CAR),R, 684 
Poblacion 10,City of Cabadbaran,Agusan del Norte,Region XIII (Caraga),R, 547 
Calaitan,City of Bayugan,Agusan del Sur,Region XIII (Caraga),R," 1,971 "
Taganahaw,Esperanza,Agusan del Sur,Region XIII (Caraga),R, 402 
San Isidro,Loreto,Agusan del Sur,Region XIII (Caraga),R," 1,634 "
La Union,Prosperidad ,Agusan del Sur,Region XIII (Caraga),R," 1,812 "
Binga,Mainit,Surigao del Norte,Region XIII (Caraga),R, 395 
Jubgan,San Francisco,Surigao del Norte,Region XIII (Caraga),R," 1,761 "
Tubo-tubo,Cagwait,Surigao del Sur,Region XIII (Caraga),R," 3,101 "
Babuyan,Carrascal,Surigao del Sur,Region XIII (Caraga),R, 760 
Santo Niño,San Agustin,Surigao del Sur,Region XIII (Caraga),R," 2,052 "
Lumuton,City of Lamitan ,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 983 
Lower Sinangkapan,Tuburan,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,975 "
Bantayao,Lumba-Bayabao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,403 "
Cabasaran,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,104 "
Kabbon Takas,Patikul,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 956 
South Musu Laud,Siasi,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 738 
Lambi-lambian,South Ubian,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,127 "
Tongbangkaw,Tandubas,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,874 "
Tumaguinting,Northern Kabuntalan,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,275 "
Espiritu,Dingras,Ilocos Norte,Region I (Ilocos Region),R," 1,030 "
Salpad,Pasuquin,Ilocos Norte,Region I (Ilocos Region),R, 665 
Bayubay Sur,San Vicente,Ilocos Sur,Region I (Ilocos Region),U," 1,822 "
Magsaysay District ,Santa,Ilocos Sur,Region I (Ilocos Region),R, 953 
Quirino ,Santa,Ilocos Sur,Region I (Ilocos Region),R, 326 
Guerrero,Bauang,La Union,Region I (Ilocos Region),R," 1,085 "
Lingsat,City of San Fernando ,La Union,Region I (Ilocos Region),U," 7,528 "
San Felipe,San Juan,La Union,Region I (Ilocos Region),R," 1,425 "
Magsaysay,Agno,Pangasinan,Region I (Ilocos Region),R," 1,548 "
Poblacion West,Alcala,Pangasinan,Region I (Ilocos Region),R," 1,783 "
Inirangan,Bayambang,Pangasinan,Region I (Ilocos Region),R," 1,765 "
Sancagulis,Bayambang,Pangasinan,Region I (Ilocos Region),R," 2,216 "
San Vicente,Dasol,Pangasinan,Region I (Ilocos Region),R," 1,392 "
Doliman,Infanta,Pangasinan,Region I (Ilocos Region),R," 1,492 "
Primicias,Santa Barbara,Pangasinan,Region I (Ilocos Region),R," 1,819 "
Cauplasan,Santa Maria,Pangasinan,Region I (Ilocos Region),R," 1,045 "
Concepcion,Umingan,Pangasinan,Region I (Ilocos Region),R, 992 
Nabbialan,Amulung,Cagayan,Region II (Cagayan Valley),R," 1,478 "
Dalla,Baggao,Cagayan,Region II (Cagayan Valley),R," 1,673 "
San Vicente,Baggao,Cagayan,Region II (Cagayan Valley),R, 636 
Lakambini,Tuao,Cagayan,Region II (Cagayan Valley),R," 1,085 "
Callao,Alicia,Isabela,Region II (Cagayan Valley),R," 2,196 "
Cabeseria 5,City of Ilagan ,Isabela,Region II (Cagayan Valley),R, 882 
Lalog 1,Luna,Isabela,Region II (Cagayan Valley),R," 1,416 "
Santa Victoria,Naguilian,Isabela,Region II (Cagayan Valley),R, 563 
San Jose,San Mariano,Isabela,Region II (Cagayan Valley),R," 2,622 "
San Antonio,San Mateo,Isabela,Region II (Cagayan Valley),R," 1,093 "
Paniki,Bagabag,Nueva Vizcaya,Region II (Cagayan Valley),R," 1,980 "
Poblacion South,Solano,Nueva Vizcaya,Region II (Cagayan Valley),U, 819 
Pilar D. Galima,Solano,Nueva Vizcaya,Region II (Cagayan Valley),R, 975 
Alicia,Aglipay,Quirino,Region II (Cagayan Valley),R," 1,415 "
Bonifacio ,Dinalupihan,Bataan,Region III (Central Luzon),R, 366 
Bagumbayan ,Orion,Bataan,Region III (Central Luzon),R," 1,146 "
Santa Ines,Bulacan,Bulacan,Region III (Central Luzon),R," 2,399 "
Camachin,Doña Remedios Trinidad,Bulacan,Region III (Central Luzon),R," 1,744 "
District VIII,Cuyapo,Nueva Ecija,Region III (Central Luzon),R," 1,269 "
San Bernardino,Guimba,Nueva Ecija,Region III (Central Luzon),R," 1,437 "
San Isidro,Laur,Nueva Ecija,Region III (Central Luzon),R," 4,136 "
Mapalad,Santa Rosa,Nueva Ecija,Region III (Central Luzon),R," 4,439 "
San Gregorio,Santa Rosa,Nueva Ecija,Region III (Central Luzon),R, 976 
Mancatian,Porac,Pampanga,Region III (Central Luzon),U," 2,707 "
Matingain I,Lemery,Batangas,Region IV-A (CALABARZON),R," 3,773 "
District IV ,Lemery,Batangas,Region IV-A (CALABARZON),U," 1,789 "
Salaban,San Jose,Batangas,Region IV-A (CALABARZON),R," 1,653 "
Pansipit,San Nicolas,Batangas,Region IV-A (CALABARZON),R, 443 
Salaban,Amadeo,Cavite,Region IV-A (CALABARZON),R," 2,706 "
Mabolo I,City of Bacoor,Cavite,Region IV-A (CALABARZON),R," 1,430 "
P.F. Espiritu IV,City of Bacoor,Cavite,Region IV-A (CALABARZON),U," 11,694 "
Bancal,Carmona,Cavite,Region IV-A (CALABARZON),U," 16,221 "
Toclong I-C,City of Imus,Cavite,Region IV-A (CALABARZON),R," 1,569 "
Alulod,Indang,Cavite,Region IV-A (CALABARZON),U," 5,055 "
San Vicente II,Silang,Cavite,Region IV-A (CALABARZON),U," 4,593 "
Zapote,City of Biñan,Laguna,Region IV-A (CALABARZON),U," 14,684 "
